Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
NGA,2017-02-01,2017-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2017,2017,,126.619758,A,base year is 2015
NGA,2018-02-01,2018-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2018,2018,,148.852687,A,base year is 2015
NGA,2019-02-01,2019-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2019,2019,,168.837276,A,base year is 2015
NGA,2020-02-01,2020-02-29,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2020,2020,,193.860387,A,base year is 2015
NGA,2021-02-01,2021-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2021,2021,,235.840050,A,base year is 2015
NGA,2022-02-01,2022-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2022,2022,,276.088277,A,base year is 2015
NGA,2023-02-01,2023-02-28,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2023,2023,,342.999307,A,base year is 2015
NGA,2000-03-01,2000-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2000,2000,,16.598438,A,base year is 2015
NGA,2001-03-01,2001-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2001,2001,,19.377846,A,base year is 2015
NGA,2002-03-01,2002-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2002,2002,,24.418397,A,base year is 2015
NGA,2003-03-01,2003-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2003,2003,,24.587358,A,base year is 2015
NGA,2004-03-01,2004-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2004,2004,,28.321800,A,base year is 2015
NGA,2005-03-01,2005-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2005,2005,,35.295010,A,base year is 2015
NGA,2006-03-01,2006-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2006,2006,,38.585445,A,base year is 2015
NGA,2007-03-01,2007-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2007,2007,,39.286428,A,base year is 2015
NGA,2008-03-01,2008-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2008,2008,,44.185461,A,base year is 2015
NGA,2009-03-01,2009-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2009,2009,,51.250217,A,base year is 2015
NGA,2010-03-01,2010-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2010,2010,,59.335978,A,base year is 2015
NGA,2011-03-01,2011-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2011,2011,,66.565706,A,base year is 2015
NGA,2012-03-01,2012-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2012,2012,,74.299853,A,base year is 2015
NGA,2013-03-01,2013-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2013,2013,,81.298046,A,base year is 2015
NGA,2014-03-01,2014-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2014,2014,,88.793499,A,base year is 2015
NGA,2015-03-01,2015-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2015,2015,,97.091631,A,base year is 2015
NGA,2016-03-01,2016-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2016,2016,,109.377113,A,base year is 2015
NGA,2017-03-01,2017-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2017,2017,,129.402851,A,base year is 2015
NGA,2018-03-01,2018-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2018,2018,,150.187956,A,base year is 2015
NGA,2019-03-01,2019-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2019,2019,,170.315596,A,base year is 2015
NGA,2020-03-01,2020-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2020,2020,,195.681072,A,base year is 2015
NGA,2021-03-01,2021-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2021,2021,,240.309286,A,base year is 2015
NGA,2022-03-01,2022-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2022,2022,,281.550865,A,base year is 2015
NGA,2023-03-01,2023-03-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2023,2023,,350.034125,A,base year is 2015
NGA,2000-04-01,2000-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2000,2000,,16.883719,A,base year is 2015
NGA,2001-04-01,2001-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2001,2001,,21.467074,A,base year is 2015
NGA,2002-04-01,2002-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2002,2002,,24.839063,A,base year is 2015
NGA,2003-04-01,2003-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2003,2003,,25.751672,A,base year is 2015
NGA,2004-04-01,2004-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2004,2004,,29.485746,A,base year is 2015
NGA,2005-04-01,2005-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2005,2005,,35.373479,A,base year is 2015
NGA,2006-04-01,2006-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2006,2006,,38.742381,A,base year is 2015
NGA,2007-04-01,2007-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2007,2007,,39.678769,A,base year is 2015
NGA,2008-04-01,2008-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2008,2008,,44.865519,A,base year is 2015
NGA,2009-04-01,2009-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2009,2009,,51.621634,A,base year is 2015
NGA,2010-04-01,2010-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2010,2010,,60.075582,A,base year is 2015
NGA,2011-04-01,2011-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2011,2011,,66.457734,A,base year is 2015
NGA,2012-04-01,2012-04-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2012,2012,,74.419624,A,base year is 2015
