Date,Price,Open,High,Low,Vol.,Change %
2012-06-15,163.5,163.34,163.55,162.95,,0.28%
2012-06-18,162.125,163.465,163.625,162.125,,-0.84%
2012-06-19,161.625,162.325,162.325,160.775,,-0.31%
2012-06-20,162.525,161.625,162.865,161.255,,0.56%
2012-06-21,162.55,162.45,162.69,162.07,,0.02%
2012-06-22,162.915,162.605,163.195,162.205,,0.22%
2012-06-25,162.655,163.195,163.225,162.655,,-0.16%
2012-06-26,162.75,162.8,163.15,162.45,,0.06%
2012-06-27,162.65,162.7,162.7,162.0,,-0.06%
2012-06-28,162.84,162.76,163.26,162.71,,0.12%
2012-06-29,162.75,163.34,163.34,162.55,,-0.06%
2012-07-02,162.75,162.7,163.3,162.64,,0.00%
2012-07-03,162.65,162.75,163.3,162.64,,-0.06%
2012-07-04,162.95,162.7,163.29,162.7,,0.18%
2012-07-05,162.05,163.19,163.19,161.9,,-0.55%
2012-07-06,160.9,162.2,162.35,160.9,,-0.71%
2012-07-09,160.705,162.605,162.605,160.495,,-0.12%
2012-07-10,160.845,160.785,161.305,160.785,,0.09%
2012-07-11,161.25,160.86,161.25,160.86,,0.25%
2012-07-12,162.205,161.075,162.205,161.055,,0.59%
2012-07-13,162.275,162.275,162.275,161.775,,0.04%
2012-07-16,162.255,162.255,162.275,161.355,,-0.01%
2012-07-17,160.25,162.4,162.4,160.2,,-1.24%
2012-07-18,161.25,160.35,161.3,160.05,,0.62%
2012-07-19,161.35,160.85,162.09,160.85,,0.06%
2012-07-20,161.2,161.7,161.85,161.2,,-0.09%
2012-07-23,160.85,161.25,161.57,160.85,,-0.22%
2012-07-24,160.875,161.125,161.125,160.475,,0.02%
2012-07-25,159.65,161.0,161.0,158.0,,-0.76%
2012-07-26,160.7,159.6,160.85,159.55,,0.66%
2012-07-27,160.9,160.7,161.25,160.7,,0.12%
2012-07-30,160.55,161.05,161.4,160.55,,-0.22%
2012-07-31,160.75,160.55,160.95,160.55,,0.12%
2012-08-01,160.85,160.65,161.05,160.65,,0.06%
2012-08-02,161.4,160.9,161.68,160.9,,0.34%
2012-08-03,161.8,161.25,161.8,161.25,,0.25%
2012-08-06,161.65,161.9,161.9,161.5,,-0.09%
2012-08-07,161.65,161.65,161.8,161.55,,0.00%
2012-08-08,160.25,161.75,161.75,160.05,,-0.87%
2012-08-09,158.75,159.95,159.95,158.05,,-0.94%
2012-08-10,158.37,158.7,159.05,158.25,,-0.24%
2012-08-13,157.85,158.17,158.47,157.6,,-0.33%
2012-08-14,158.55,157.85,158.7,157.59,,0.44%
2012-08-15,156.75,158.75,158.75,156.75,,-1.14%
2012-08-16,157.0,156.55,157.0,156.35,,0.16%
2012-08-17,157.8,156.85,158.0,156.85,,0.51%
2012-08-20,157.75,157.85,158.0,157.75,,-0.03%
2012-08-21,157.8,157.8,157.96,157.8,,0.03%
2012-08-22,157.65,157.85,158.4,157.65,,-0.10%
2012-08-23,158.3,157.65,158.37,157.65,,0.41%
2012-08-24,158.15,158.2,158.45,157.7,,-0.09%
2012-08-27,157.95,158.1,158.3,157.95,,-0.13%
2012-08-28,158.2,158.3,158.3,157.85,,0.16%
2012-08-29,158.1,158.2,158.27,158.05,,-0.06%
2012-08-30,158.1,158.05,158.1,157.55,,0.00%
2012-08-31,158.0,157.95,158.17,157.95,,-0.06%
2012-09-03,158.15,158.0,158.4,158.0,,0.09%
2012-09-04,158.5,158.3,158.5,158.1,,0.22%
2012-09-05,158.3,158.2,158.6,158.15,,-0.13%
2012-09-06,157.9,158.3,158.3,157.8,,-0.25%
2012-09-07,157.525,157.925,157.925,157.125,,-0.24%
2012-09-10,157.625,157.975,157.975,157.425,,0.06%
2012-09-11,157.85,157.65,158.25,157.55,,0.14%
2012-09-12,158.0,157.9,158.07,157.85,,0.10%
2012-09-13,157.85,158.15,158.15,157.65,,-0.09%
2012-09-14,157.45,157.7,157.95,157.45,,-0.25%
2012-09-17,157.85,157.55,157.85,157.55,,0.25%
2012-09-18,157.73,157.35,157.77,157.35,,-0.08%
2012-09-19,157.6,157.5,157.67,157.5,,-0.08%
2012-09-20,157.63,157.45,157.87,157.45,,0.02%
2012-09-21,157.75,157.55,158.0,157.55,,0.08%
2012-09-24,157.85,157.8,158.18,157.8,,0.06%
2012-09-25,157.65,157.77,157.77,157.65,,-0.13%
2012-09-26,157.35,157.55,157.55,157.25,,-0.19%
2012-09-27,157.25,157.25,157.3,157.15,,-0.06%
2012-09-28,157.2,157.2,157.6,157.2,,-0.03%
2012-10-01,157.4,157.75,157.75,157.35,,0.13%
2012-10-02,157.35,157.25,157.55,157.25,,-0.03%
2012-10-03,157.25,157.5,157.5,157.25,,-0.06%
2012-10-04,156.75,157.25,157.25,156.45,,-0.32%
2012-10-05,157.0,156.35,157.1,156.35,,0.16%
2012-10-08,157.125,157.425,157.425,157.025,,0.08%
2012-10-09,157.375,157.825,157.825,157.125,,0.16%
2012-10-10,157.2,157.25,157.25,157.2,,-0.11%
2012-10-11,157.125,157.205,157.315,157.125,,-0.05%
2012-10-12,157.275,157.325,157.425,157.275,,0.10%
2012-10-15,157.275,157.455,157.455,157.275,,0.00%
2012-10-16,157.275,157.775,157.775,157.275,,0.00%
2012-10-17,157.57,157.57,157.57,157.42,,0.19%
2012-10-18,157.275,157.525,157.525,157.275,,-0.19%
2012-10-19,157.35,157.25,157.57,157.05,,0.05%
2012-10-22,157.2,157.35,157.38,157.2,,-0.10%
2012-10-23,157.25,157.2,157.25,157.2,,0.03%
2012-10-24,157.3,157.25,157.3,157.2,,0.03%
2012-10-25,157.25,157.25,157.25,157.25,,-0.03%
2012-10-26,157.25,157.25,157.25,157.25,,0.00%
2012-10-29,157.0,156.85,157.0,156.85,,-0.16%
2012-10-30,157.03,157.05,157.1,157.0,,0.02%
2012-10-31,157.06,157.0,157.3,156.95,,0.02%
2012-11-01,156.625,157.325,157.325,156.525,,-0.28%
2012-11-02,156.8,156.35,156.8,156.25,,0.11%
2012-11-05,156.925,156.525,157.425,156.525,,0.08%
2012-11-06,156.925,157.325,157.325,156.925,,0.00%
2012-11-07,157.3,157.25,157.3,157.23,,0.24%
2012-11-08,157.15,157.25,157.3,157.15,,-0.10%
2012-11-09,157.425,157.325,157.575,157.325,,0.17%
2012-11-12,157.84,157.25,157.84,157.25,,0.26%
2012-11-13,157.875,157.825,157.875,157.425,,0.02%
2012-11-14,157.7,157.9,157.97,157.7,,-0.11%
2012-11-15,158.0,157.75,158.0,157.75,,0.19%
2012-11-16,158.5,157.95,158.5,157.95,,0.32%
2012-11-19,157.83,158.5,158.55,157.75,,-0.42%
2012-11-20,158.0,158.0,158.0,157.6,,0.11%
2012-11-21,157.7,157.73,157.73,157.55,,-0.19%
2012-11-22,157.55,157.3,157.55,157.3,,-0.10%
2012-11-23,157.5,157.3,157.75,157.3,,-0.03%
2012-11-26,157.4,157.25,157.8,157.15,,-0.06%
2012-11-27,157.5,157.75,157.75,157.16,,0.06%
2012-11-28,157.6,157.52,157.7,157.52,,0.06%
2012-11-29,157.3,157.52,157.6,157.3,,-0.19%
2012-11-30,157.35,157.5,157.5,157.15,,0.03%
2012-12-03,157.1,157.5,157.6,157.05,,-0.16%
2012-12-04,157.05,157.25,157.25,156.95,,-0.03%
2012-12-05,156.95,157.25,157.35,156.95,,-0.06%
2012-12-06,157.27,157.25,157.27,157.15,,0.20%
2012-12-07,156.95,157.15,157.15,156.95,,-0.20%
2012-12-10,157.025,157.225,157.225,156.975,,0.05%
2012-12-11,157.45,157.15,157.5,157.05,,0.27%
2012-12-12,157.675,157.225,157.825,157.225,,0.14%
2012-12-13,157.75,157.45,157.8,157.45,,0.05%
2012-12-14,157.6,157.73,157.73,157.6,,-0.10%
2012-12-17,157.825,157.225,158.125,157.225,,0.14%
2012-12-18,157.875,157.225,158.325,157.125,,0.03%
2012-12-19,157.82,158.25,158.25,157.82,,-0.03%
2012-12-20,157.2,158.1,158.1,157.2,,-0.39%
2012-12-21,157.125,157.225,157.325,157.025,,-0.05%
2012-12-24,157.05,157.15,157.2,157.05,,-0.05%
2012-12-25,157.15,157.15,157.15,157.15,,0.06%
2012-12-26,157.15,157.15,157.15,157.15,,0.00%
2012-12-27,157.0,157.2,157.3,157.0,,-0.10%
2012-12-28,156.15,157.15,157.15,156.0,,-0.54%
