"Rate Date","Rate Type","Range","Weighted Average"
"11/5/2009","360-Day","NIL","NIL",
"11/5/2009","60-Day","17.5000 - 17.5000","17.5000",
"11/5/2009","7-Day","10.0000 - 10.0000","10.0000",
"11/5/2009","90-Day","NIL","NIL",
"11/5/2009","Call Rate","4.5000 - 8.0000","7.1600",
"11/5/2009","OBB Rate","5.2500 - 8.0000","6.6000",
"11/4/2009","180-Day","NIL","NIL",
"11/4/2009","30-Day","12.0000 - 16.5000","14.0800",
"11/4/2009","360-Day","NIL","NIL",
"11/4/2009","60-Day","NIL","NIL",
"11/4/2009","7-Day","15.2500 - 15.2500","15.2500",
"11/4/2009","90-Day","NIL","NIL",
"11/4/2009","Call Rate","6.5000 - 9.0000","7.6600",
"11/4/2009","OBB Rate","4.2000 - 8.0000","6.3900",
"11/3/2009","180-Day","NIL","NIL",
"11/3/2009","30-Day","15.7500 - 16.5000","15.9700",
"11/3/2009","360-Day","NIL","NIL",
"11/3/2009","60-Day","16.5000 - 16.8500","16.5600",
"11/3/2009","7-Day","NIL","NIL",
"11/3/2009","90-Day","NIL","NIL",
"11/3/2009","Call Rate","4.2000 - 8.2500","6.7700",
"11/3/2009","OBB Rate","4.0000 - 8.0000","5.2000",
"11/2/2009","180-Day","NIL","NIL",
"11/2/2009","30-Day","12.5000 - 14.7500","14.0900",
"11/2/2009","360-Day","NIL","NIL",
"11/2/2009","60-Day","NIL","NIL",
"11/2/2009","7-Day","NIL","NIL",
"11/2/2009","90-Day","NIL","NIL",
"11/2/2009","Call Rate","4.2000 - 6.0000","4.9300",
"11/2/2009","OBB Rate","4.0000 - 7.5000","4.5000",
"10/30/2009","180-Day","NIL","NIL",
"10/30/2009","30-Day","13.5000 - 13.7500","13.2800",
"10/30/2009","360-Day","NIL","NIL",
"10/30/2009","60-Day","NIL","NIL",
"10/30/2009","7-Day","NIL","NIL",
"10/30/2009","90-Day","NIL","NIL",
"10/30/2009","Call Rate","4.2500 - 4.5000","4.3600",
"10/30/2009","OBB Rate","4.0000 - 7.0000","4.3400",
"10/29/2009","180-Day","NIL","NIL",
"10/29/2009","30-Day","12.000 - 16.2500","12.4100",
"10/29/2009","360-Day","NIL","NIL",
"10/29/2009","60-Day","NIL","NIL",
"10/29/2009","7-Day","NIL","NIL",
"10/29/2009","90-Day","NIL","NIL",
"10/29/2009","Call Rate","4.2000 - 4.5000","4.3300",
"10/29/2009","OBB Rate","4.0000 - 5.5000","4.1700",
"10/28/2009","180-Day","NIL","NIL",
"10/28/2009","30-Day","12.0000 - 16.0000","13.1400",
"10/28/2009","360-Day","NIL","NIL",
"10/28/2009","60-Day","17.0000 - 17.0000","17.0000",
"10/28/2009","7-Day","NIL","NIL",
"10/28/2009","90-Day","NIL","NIL",
"10/28/2009","Call Rate","4.2500 - 4.5000","4.3000",
"10/28/2009","OBB Rate","4.0000 - 5.2500","4.8400",
"10/27/2009","180-Day","NIL","NIL",
"10/27/2009","30-Day","NIL","NIL",
"10/27/2009","360-Day","NIL","NIL",
"10/27/2009","60-Day","NIL","NIL",
"10/27/2009","7-Day","NIL","NIL",
"10/27/2009","90-Day","NIL","NIL",
"10/27/2009","Call Rate","4.1500 - 4.5000","4.2700",
"10/27/2009","OBB Rate","4.0000 - 5.0000","4.3500",
"10/26/2009","180-Day","NIL","NIL",
"10/26/2009","30-Day","10.7500 - 12.5000","11.0900",
"10/26/2009","360-Day","NIL","NIL",
"10/26/2009","60-Day","NIL","NIL",
"10/26/2009","7-Day","NIL","NIL",
"10/26/2009","90-Day","NIL","NIL",
"10/26/2009","Call Rate","4.1000 - 4.7500","4.3100",
"10/26/2009","OBB Rate","4.0000 - 5.0000","4.2200",
"10/23/2009","180-Day","NIL","NIL",
"10/23/2009","30-Day","NIL","NIL",
"10/23/2009","360-Day","NIL","NIL",
"10/23/2009","60-Day","NIL","NIL",
"10/23/2009","7-Day","10.7500 - 10.7500","10.7500",
"10/23/2009","90-Day","NIL","NIL",
"10/23/2009","Call Rate","4.1000 - 4.2500","4.2300",
"10/23/2009","OBB Rate","4.0000 - 5.1000","4.1100",
"10/22/2009","180-Day","NIL","NIL",
"10/22/2009","30-Day","11.0000 - 12.5000","11.6000",
"10/22/2009","360-Day","NIL","NIL",
"10/22/2009","60-Day","NIL","NIL",
"10/22/2009","7-Day","NIL","NIL",
"10/22/2009","90-Day","NIL","NIL",
"10/22/2009","Call Rate","4.1500 - 4.5000","4.2600",
"10/22/2009","OBB Rate","4.0000 - 4.8500","4.3500",
"10/21/2009","180-Day","NIL","NIL",
"10/21/2009","30-Day","12.0000 - 13.0000","12.7100",
"10/21/2009","360-Day","NIL","NIL",
"10/21/2009","60-Day","NIL","NIL",
"10/21/2009","7-Day","9.5000 - 9.5000","9.5000",
"10/21/2009","90-Day","NIL","NIL",
"10/21/2009","Call Rate","4.2000 - 4.2500","4.2300",
"10/21/2009","OBB Rate","3.7500 - 5.5500","4.1400",
"10/20/2009","180-Day","NIL","NIL",
"10/20/2009","30-Day","13.0000 - 17.0000","15.9700",
"10/20/2009","360-Day","NIL","NIL",
"10/20/2009","60-Day","NIL","NIL",
"10/20/2009","7-Day","NIL","NIL",
"10/20/2009","90-Day","NIL","NIL",
"10/20/2009","Call Rate","4.0000 - 4.2500","4.2000",
"10/20/2009","OBB Rate","4.0000 - 7.0000","4.3400",
"10/19/2009","180-Day","NIL","NIL",
"10/19/2009","30-Day","NIL","NIL",
"10/19/2009","360-Day","NIL","NIL",
"10/19/2009","60-Day","NIL","NIL",
"10/19/2009","7-Day","12.7500 - 13.0000","12.9100",
"10/19/2009","90-Day","NIL","NIL",
"10/19/2009","Call Rate","4.0000 - 4.5000","4.2500",
"10/19/2009","OBB Rate","4.0000 - 7.0000","4.3600",
"10/16/2009","180-Day","NIL","NIL",
"10/16/2009","30-Day","13.0000 - 13.0000","13.0000",
"10/16/2009","360-Day","NIL","NIL",
"10/16/2009","60-Day","NIL","NIL",
"10/16/2009","7-Day","NIL","NIL",
"10/16/2009","90-Day","NIL","NIL",
"10/16/2009","Call Rate","4.2500 - 4.7500","4.3900",
"10/16/2009","OBB Rate","4.2500 - 8.0000","5.1100",
"10/15/2009","180-Day","NIL","NIL",
"10/15/2009","30-Day","15.0000 - 15.0000","15.0000",
"10/15/2009","360-Day","NIL","NIL",
"10/15/2009","60-Day","NIL","NIL",
"10/15/2009","7-Day","NIL","NIL",
"10/15/2009","90-Day","NIL","NIL",
"10/15/2009","Call Rate","6.0000 - 9.5000","7.3400",
"10/15/2009","OBB Rate","8.0000 - 8.0000","8.0000",
"10/14/2009","180-Day","NIL","NIL",
"10/14/2009","30-Day","17.0000 - 17.7500","17.0000",
"10/14/2009","360-Day","NIL","NIL",
"10/14/2009","60-Day","NIL","NIL",
"10/14/2009","7-Day","NIL","NIL",
"10/14/2009","90-Day","NIL","NIL",
"10/14/2009","Call Rate","9.0000 - 10.25000","9.9600",
"10/14/2009","OBB Rate","8.0000 - 8.0000","8.0000",
"10/13/2009","180-Day","NIL","NIL",
"10/13/2009","30-Day","NIL","NIL",
"10/13/2009","360-Day","NIL","NIL",
"10/13/2009","60-Day","NIL","NIL",
"10/13/2009","7-Day","NIL","NIL",
"10/13/2009","90-Day","NIL","NIL",
"10/13/2009","Call Rate","10.0000 - 10.5000","10.0400",
"10/13/2009","OBB Rate","8.0000 - 8.0000","8.0000",
"10/12/2009","180-Day","NIL","NIL",
"10/12/2009","30-Day","NIL","NIL",
"10/12/2009","360-Day","NIL","NIL",
"10/12/2009","60-Day","NIL","NIL",
"10/12/2009","7-Day","NIL","NIL",
"10/12/2009","90-Day","NIL","NIL",
"10/12/2009","Call Rate","10.2500 - 15.7500","13.2100",
"10/12/2009","OBB Rate","8.0000 - 8.0000","8.0000",
"10/9/2009","180-Day","NIL","NIL",
"10/9/2009","30-Day","18.0000 - 18.0000","18.0000",
"10/9/2009","360-Day","NIL","NIL",
"10/9/2009","60-Day","NIL","NIL",
"10/9/2009","7-Day","NIL","NIL",
"10/9/2009","90-Day","NIL","NIL",
"10/9/2009","Call Rate","9.2500 - 10.5000","10.1000",
"10/9/2009","OBB Rate","8.0000 - 8.0000","8.0000",
"10/8/2009","180-Day","NIL","NIL",
"10/8/2009","30-Day","14.2500 - 16.0000","15.1700",
"10/8/2009","360-Day","NIL","NIL",
"10/8/2009","60-Day","NIL","NIL",
"10/8/2009","7-Day","14.5000 - 14.5000","14.5000",
"10/8/2009","90-Day","NIL","NIL",
"10/8/2009","Call Rate","8.0000 - 10.2500","9.8600",
"10/8/2009","OBB Rate","6.0500 - 8.0000","7.9500",
"10/7/2009","180-Day","NIL","NIL",
"10/7/2009","30-Day","NIL","NIL",
"10/7/2009","360-Day","NIL","NIL",
"10/7/2009","60-Day","NIL","NIL",
"10/7/2009","7-Day","13.0000 - 16.0000","13.6300",
"10/7/2009","90-Day","NIL","NIL",
"10/7/2009","Call Rate","10.0000 - 12.5000","10.3200",
"10/7/2009","OBB Rate","7.2500 - 8.0000","7.9800",
"10/6/2009","180-Day","NIL","NIL",
"10/6/2009","30-Day","14.5000 - 14.5000","14.5000",
"10/6/2009","360-Day","NIL","NIL",
"10/6/2009","60-Day","NIL","NIL",
"10/6/2009","7-Day","NIL","NIL",
"10/6/2009","90-Day","NIL","NIL",
"10/6/2009","Call Rate","9.5000 - 10.0000","9.9300",
"10/6/2009","OBB Rate","6.7500 - 8.0000","7.6400",
"10/5/2009","180-Day","NIL","NIL",
"10/5/2009","30-Day","13.0000 - 17.5000","14.6400",
"10/5/2009","360-Day","NIL","NIL",
"10/5/2009","60-Day","NIL","NIL",
"10/5/2009","7-Day","NIL","NIL",
"10/5/2009","90-Day","NIL","NIL",
"10/5/2009","Call Rate","7.2500 - 9.0000","7.7800",
"10/5/2009","OBB Rate","5.0000 - 8.0000","7.7700",
"10/2/2009","180-Day","NIL","NIL",
"10/2/2009","30-Day","NIL","NIL",
"10/2/2009","360-Day","NIL","NIL",
"10/2/2009","60-Day","NIL","NIL",
"10/2/2009","7-Day","NIL","NIL",
"10/2/2009","90-Day","NIL","NIL",
"10/2/2009","Call Rate","7.2500 - 11.2500","9.6200",
"10/2/2009","OBB Rate","3.4500 - 8.0000","7.9000",
"9/30/2009","180-Day","NIL","NIL",
"9/30/2009","30-Day","15.0000 - 15.0000","15.0000",
"9/30/2009","360-Day","NIL","NIL",
"9/30/2009","60-Day","NIL","NIL",
"9/30/2009","7-Day","NIL","NIL",
"9/30/2009","90-Day","NIL","NIL",
"9/30/2009","Call Rate","8.0000 - 13.0000","10.2700",
"9/30/2009","OBB Rate","6.0000 - 8.0000","7.5300",
"9/29/2009","180-Day","NIL","NIL",
"9/29/2009","30-Day","15.0000 - 16.5000","15.8600",
"9/29/2009","360-Day","NIL","NIL",
"9/29/2009","60-Day","NIL","NIL",
"9/29/2009","7-Day","NIL","NIL",
"9/29/2009","90-Day","NIL","NIL",
"9/29/2009","Call Rate","8.0000 - 12.5000","10.3100",
"9/29/2009","OBB Rate","6.5000 - 8.0000","7.7800",
"9/28/2009","180-Day","NIL","NIL",
"9/28/2009","30-Day","16.0000 - 16.0000","16.0000",
"9/28/2009","360-Day","NIL","NIL",
"9/28/2009","60-Day","NIL","NIL",
"9/28/2009","7-Day","17.0000 - 17.0000","17.0000",
"9/28/2009","90-Day","NIL","NIL",
"9/28/2009","Call Rate","9.0000 - 12.5000","10.9300",
"9/28/2009","OBB Rate","5.3500 - 8.0000","7.6000",
"9/25/2009","180-Day","NIL","NIL",
"9/25/2009","30-Day","16.0000 - 16.2500","16.1500",
"9/25/2009","360-Day","NIL","NIL",
"9/25/2009","60-Day","17.0000 - 18.0000","17.2500",
"9/25/2009","7-Day","NIL","NIL",
"9/25/2009","90-Day","NIL","NIL",
"9/25/2009","Call Rate","8.0000 - 12.0000","9.6900",
"9/25/2009","OBB Rate","6.0000 - 8.0000","7.7400",
"9/24/2009","180-Day","NIL","NIL",
"9/24/2009","30-Day","16.0000 - 17.0000","16.3300",
"9/24/2009","360-Day","NIL","NIL",
"9/24/2009","60-Day","NIL","NIL",
"9/24/2009","7-Day","15.0000 - 15.0000","15.0000",
"9/24/2009","90-Day","NIL","NIL",
"9/24/2009","Call Rate","11.0000 - 13.0000","12.1600",
"9/24/2009","OBB Rate","7.0000 - 8.0000","7.9600",
"9/23/2009","180-Day","NIL","NIL",
"9/23/2009","30-Day","16.5000 - 17.5000","16.7000",
"9/23/2009","360-Day","NIL","NIL",
"9/23/2009","60-Day","NIL","NIL",
"9/23/2009","7-Day","12.0000 - 12.0000","12.0000",
"9/23/2009","90-Day","NIL","NIL",
"9/23/2009","Call Rate","10.0000 - 16.0000","12.3600",
"9/23/2009","OBB Rate","6.0000 - 8.0000","7.5500",
"9/18/2009","180-Day","NIL","NIL",
"9/18/2009","30-Day","14.0000 - 14.0000","14.0000",
"9/18/2009","360-Day","NIL","NIL",
"9/18/2009","60-Day","NIL","NIL",
"9/18/2009","7-Day","9.0000 - 11.0000","10.2900",
"9/18/2009","90-Day","NIL","NIL",
"9/18/2009","Call Rate","7.5000 - 15.5000","11.5500",
"9/18/2009","OBB Rate","6.0000 - 8.0000","7.3300",
"9/17/2009","180-Day","NIL","NIL",
"9/17/2009","30-Day","NIL","NIL",
"9/17/2009","360-Day","NIL","NIL",
"9/17/2009","60-Day","NIL","NIL",
"9/17/2009","7-Day","NIL","NIL",
"9/17/2009","90-Day","NIL","NIL",
"9/17/2009","Call Rate","13.0000 - 16.0000","14.8500",
"9/17/2009","OBB Rate","5.1000 - 8.0000","7.9800",
"9/16/2009","180-Day","NIL","NIL",
"9/16/2009","30-Day","16.5000 - 16.5000","16.5000",
"9/16/2009","360-Day","NIL","NIL",
"9/16/2009","60-Day","NIL","NIL",
"9/16/2009","7-Day","NIL","NIL",
"9/16/2009","90-Day","NIL","NIL",
"9/16/2009","Call Rate","13.7500 - 15.0000","14.5900",
"9/16/2009","OBB Rate","6.0000 - 8.0000","7.9900",
"9/15/2009","180-Day","NIL","NIL",
"9/15/2009","30-Day","NIL","NIL",
"9/15/2009","360-Day","NIL","NIL",
"9/15/2009","60-Day","NIL","NIL",
"9/15/2009","7-Day","NIL","NIL",
"9/15/2009","90-Day","NIL","NIL",
"9/15/2009","Call Rate","12.5000 - 14.7500","14.1400",
"9/15/2009","OBB Rate","5.0000 - 8.0000","7.9500",
"9/14/2009","180-Day","NIL","NIL",
"9/14/2009","360-Day","NIL","NIL",
"9/14/2009","60-Day","NIL","NIL",
"9/14/2009","90-Day","NIL","NIL",
"9/14/2009","OBB Rate","7.0000 - 8.0000","7.9800",
"9/11/2009","180-Day","NIL","NIL",
"9/11/2009","30-Day","NIL","NIL",
"9/11/2009","360-Day","NIL","NIL",
"9/11/2009","60-Day","NIL","NIL",
"9/11/2009","7-Day","NIL","NIL",
"9/11/2009","90-Day","NIL","NIL",
"9/11/2009","Call Rate","11.0000 - 13.0000","12.7200",
"9/11/2009","OBB Rate","4.8500 - 8.0000","7.7400",
"9/10/2009","180-Day","NIL","NIL",
"9/10/2009","30-Day","16.0000 - 18.0000","17.4300",
"9/10/2009","360-Day","NIL","NIL",
"9/10/2009","60-Day","NIL","NIL",
"9/10/2009","7-Day","NIL","NIL",
"9/10/2009","90-Day","NIL","NIL",
"9/10/2009","Call Rate","10.5000 - 12.0000","11.5200",
"9/10/2009","OBB Rate","4.8500 - 8.0000","7.7400",
"9/9/2009","180-Day","NIL","NIL",
"9/9/2009","30-Day","NIL","NIL",
"9/9/2009","360-Day","NIL","NIL",
"9/9/2009","60-Day","NIL","NIL",
"9/9/2009","7-Day","NIL","NIL",
"9/9/2009","90-Day","NIL","NIL",
"9/9/2009","Call Rate","8.5000 - 9.7500","9.2400",
"9/9/2009","OBB Rate","5.7500 - 7.5000","6.7600",
"9/8/2009","180-Day","NIL","NIL",
"9/8/2009","30-Day","NIL","NIL",
"9/8/2009","360-Day","NIL","NIL",
"9/8/2009","60-Day","NIL","NIL",
"9/8/2009","7-Day","NIL","NIL",
"9/8/2009","90-Day","NIL","NIL",
"9/8/2009","Call Rate","7.0000 - 8.0000","7.5700",
"9/8/2009","OBB Rate","5.0000 - 7.7500","6.3900",
"9/7/2009","180-Day","NIL","NIL",
"9/7/2009","30-Day","17.0000 - 17.0000","17.0000",
"9/7/2009","360-Day","NIL","NIL",
"9/7/2009","60-Day","NIL","NIL",
"9/7/2009","7-Day","NIL","NIL",
"9/7/2009","90-Day","NIL","NIL",
"9/7/2009","Call Rate","6.0000 - 7.5000","6.1600",
"9/7/2009","OBB Rate","4.0000 - 7.0000","4.1800",
"9/4/2009","180-Day","NIL","NIL",
"9/4/2009","30-Day","NIL","NIL",
"9/4/2009","360-Day","NIL","NIL",
"9/4/2009","60-Day","NIL","NIL",
"9/4/2009","7-Day","NIL","NIL",
"9/4/2009","90-Day","NIL","NIL",
"9/4/2009","Call Rate","4.2500 - 5.7500","4.9500",
"9/4/2009","OBB Rate","4.0000 - 5.0000","4.1600",
"9/3/2009","180-Day","NIL","NIL",
"9/3/2009","30-Day","12.0000 - 12.0000","12.0000",
"9/3/2009","360-Day","NIL","NIL",
"9/3/2009","60-Day","NIL","NIL",
"9/3/2009","7-Day","7.0000 - 8.0000","7.2600",
"9/3/2009","90-Day","NIL","NIL",
"9/3/2009","Call Rate","4.000 - 5.7500","4.6600",
"9/3/2009","OBB Rate","4.0000 - 5.2500","5.0700",
"9/2/2009","180-Day","NIL","NIL",
"9/2/2009","30-Day","12.2500 - 12.2500","12.2500",
"9/2/2009","360-Day","NIL","NIL",
"9/2/2009","60-Day","NIL","NIL",
"9/2/2009","7-Day","NIL","NIL",
"9/2/2009","90-Day","NIL","NIL",
"9/2/2009","Call Rate","4.2500 - 5.0000","4.3200",
"9/2/2009","OBB Rate","4.0000 - 4.6500","4.0900",
"9/1/2009","180-Day","NIL","NIL",
"9/1/2009","30-Day","NIL","NIL",
"9/1/2009","360-Day","NIL","NIL",
"9/1/2009","60-Day","NIL","NIL",
"9/1/2009","7-Day","NIL","NIL",
"9/1/2009","90-Day","NIL","NIL",
"9/1/2009","Call Rate","4.2500 - 5.0000","4.5100",
"9/1/2009","OBB Rate","3.5000 - 5.0000","4.0100",
"8/31/2009","180-Day","NIL","NIL",
"8/31/2009","30-Day","NIL","NIL",
"8/31/2009","360-Day","NIL","NIL",
"8/31/2009","60-Day","NIL","NIL",
"8/31/2009","7-Day","10.0000 - 14.0000","13.0000",
"8/31/2009","90-Day","NIL","NIL",
"8/31/2009","Call Rate","4.0000 - 5.0000","4.5800",
"8/31/2009","OBB Rate","3.5000 - 8.0000","4.3000",
"8/28/2009","180-Day","NIL","NIL",
"8/28/2009","30-Day","NIL","NIL",
"8/28/2009","360-Day","NIL","NIL",
"8/28/2009","60-Day","NIL","NIL",
"8/28/2009","7-Day","NIL","NIL",
"8/28/2009","90-Day","NIL","NIL",
"8/28/2009","Call Rate","4.0000 - 4.5000","4.1100",
"8/28/2009","OBB Rate","4.0000 - 6.0000","4.2100",
"8/27/2009","180-Day","NIL","NIL",
"8/27/2009","30-Day","12.0000 - 16.0000","13.1300",
"8/27/2009","360-Day","NIL","NIL",
"8/27/2009","60-Day","NIL","NIL",
"8/27/2009","7-Day","NIL","NIL",
"8/27/2009","90-Day","NIL","NIL",
"8/27/2009","Call Rate","4.0000 - 7.5000","4.8800",
"8/27/2009","OBB Rate","4.0000 - 7.5000","4.9600",
"8/26/2009","180-Day","NIL","NIL",
"8/26/2009","30-Day","NIL","NIL",
"8/26/2009","360-Day","NIL","NIL",
"8/26/2009","60-Day","NIL","NIL",
"8/26/2009","7-Day","NIL","NIL",
"8/26/2009","90-Day","NIL","NIL",
"8/26/2009","Call Rate","4.0000 - 9.0000","6.2100",
"8/26/2009","OBB Rate","4.0000 - 8.0000","6.3200",
"8/25/2009","180-Day","NIL","NIL",
"8/25/2009","360-Day","NIL","NIL",
"8/25/2009","60-Day","NIL","NIL",
"8/25/2009","7-Day","NIL","NIL",
"8/25/2009","90-Day","NIL","NIL",
"8/25/2009","Call Rate","7.0000 - 8.5000","7.8400",
"8/25/2009","OBB Rate","4.5000 - 8.0000","6.9200",
"8/24/2009","180-Day","NIL","NIL",
"8/24/2009","30-Day","14.0000 - 15.5000","14.6000",
"8/24/2009","360-Day","NIL","NIL",
"8/24/2009","60-Day","NIL","NIL",
"8/24/2009","7-Day","NIL","NIL",
"8/24/2009","90-Day","NIL","NIL",
"8/24/2009","Call Rate","8.0000 - 8.5000","8.0700",
"8/24/2009","OBB Rate","4.0000 - 7.5000","6.4200",
"8/21/2009","180-Day","NIL","NIL",
"8/21/2009","30-Day","13.0000 - 13.0000","13.0000",
"8/21/2009","360-Day","NIL","NIL",
"8/21/2009","60-Day","NIL","NIL",
"8/21/2009","7-Day","NIL","NIL",
"8/21/2009","90-Day","NIL","NIL",
"8/21/2009","Call Rate","5.0000 - 8.0000","6.9900",
"8/21/2009","OBB Rate","3.5000 - 7.0000","5.4500",
"8/20/2009","180-Day","NIL","NIL",
"8/20/2009","30-Day","NIL","NIL",
"8/20/2009","360-Day","NIL","NIL",
"8/20/2009","60-Day","NIL","NIL",
"8/20/2009","7-Day","NIL","NIL",
"8/20/2009","90-Day","NIL","NIL",
"8/20/2009","Call Rate","2.5000 - 7.0000","4.0400",
"8/20/2009","OBB Rate","3.0000 - 8.0000","5.2200",
"8/19/2009","180-Day","NIL","NIL",
"8/19/2009","30-Day","12.0000 - 12.5000","12.2100",
"8/19/2009","360-Day","NIL","NIL",
"8/19/2009","60-Day","NIL","NIL",
"8/19/2009","7-Day","NIL","NIL",
"8/19/2009","90-Day","NIL","NIL",
"8/19/2009","Call Rate","7.0000 - 10.5000","9.2700",
"8/19/2009","OBB Rate","4.5000 - 8.0000","5.8600",
"8/18/2009","180-Day","NIL","NIL",
"8/18/2009","30-Day","17.0000 - 17.0000","17.0000",
"8/18/2009","360-Day","NIL","NIL",
"8/18/2009","60-Day","NIL","NIL",
"8/18/2009","7-Day","NIL","NIL",
"8/18/2009","90-Day","NIL","NIL",
"8/18/2009","Call Rate","7.0000 - 10.5000","8.7500",
"8/18/2009","OBB Rate","4.1000 - 8.0000","7.1600",
"8/17/2009","180-Day","NIL","NIL",
"8/17/2009","30-Day","12.0000 - 19.5000","13.2500",
"8/17/2009","360-Day","NIL","NIL",
"8/17/2009","60-Day","NIL","NIL",
"8/17/2009","7-Day","NIL","NIL",
"8/17/2009","90-Day","NIL","NIL",
"8/17/2009","Call Rate","8.7500 - 17.5000","13.2500",
"8/17/2009","OBB Rate","4.7500 - 8.0000","7.4700",
"8/14/2009","180-Day","NIL","NIL",
"8/14/2009","30-Day","NIL","NIL",
"8/14/2009","360-Day","NIL","NIL",
"8/14/2009","60-Day","NIL","NIL",
"8/14/2009","7-Day","NIL","NIL",
"8/14/2009","90-Day","NIL","NIL",
"8/14/2009","Call Rate","20.0000 - 22.5000","20.6800",
"8/14/2009","OBB Rate","4.4500 - 8.0000","7.8900",
"8/13/2009","180-Day","NIL","NIL",
"8/13/2009","30-Day","18.5000 - 18.5000","18.5000",
"8/13/2009","360-Day","NIL","NIL",
"8/13/2009","60-Day","NIL","NIL",
"8/13/2009","7-Day","NIL","NIL",
"8/13/2009","90-Day","NIL","NIL",
"8/13/2009","Call Rate","16.2500 - 19.0000","18.6000",
"8/13/2009","OBB Rate","4.5000 - 8.0000","7.6200",
"8/12/2009","180-Day","NIL","NIL",
"8/12/2009","30-Day","NIL","NIL",
"8/12/2009","360-Day","NIL","NIL",
"8/12/2009","60-Day","NIL","NIL",
"8/12/2009","7-Day","21.0000 - 21.0000","21.0000",
"8/12/2009","90-Day","NIL","NIL",
"8/12/2009","Call Rate","14.0000 - 16.5000","15.0700",
"8/12/2009","OBB Rate","8.0000 - 8.0000","8.0000",
"8/11/2009","180-Day","NIL","NIL",
"8/11/2009","30-Day","17.0000 - 17.7500","NIL",
"8/11/2009","360-Day","NIL","NIL",
"8/11/2009","60-Day","NIL","NIL",
"8/11/2009","7-Day","NIL","NIL",
"8/11/2009","90-Day","NIL","NIL",
"8/11/2009","Call Rate","13.0000 - 16.0000","14.0900",
"8/11/2009","OBB Rate","3.3500 - 8.0000","7.9100",
"8/10/2009","180-Day","NIL","NIL",
"8/10/2009","30-Day","16.5000 - 16.5000","16.5000",
"8/10/2009","360-Day","NIL","NIL",
"8/10/2009","60-Day","NIL","NIL",
"8/10/2009","7-Day","NIL","NIL",
"8/10/2009","90-Day","NIL","NIL",
"8/10/2009","Call Rate","12.0000 - 17.0000","14.1100",
"8/10/2009","OBB Rate","4.0500 - 8.0000","7.6900",
"8/7/2009","180-Day","NIL","NIL",
"8/7/2009","30-Day","15.0000 - 19.0000","16.3800",
"8/7/2009","360-Day","NIL","NIL",
"8/7/2009","60-Day","NIL","NIL",
"8/7/2009","7-Day","NIL","NIL",
"8/7/2009","90-Day","NIL","NIL",
"8/7/2009","Call Rate","12.0000 - 12.7500","12.0300",
"8/7/2009","OBB Rate","4.2000 - 8.0000","7.7800",
"8/6/2009","180-Day","NIL","NIL",
"8/6/2009","30-Day","NIL","NIL",
"8/6/2009","360-Day","NIL","NIL",
"8/6/2009","60-Day","NIL","NIL",
"8/6/2009","7-Day","14.0000 - 14.0000","14.0000",
"8/6/2009","90-Day","NIL","NIL",
"8/6/2009","Call Rate","11.5000 - 12.0000","11.7600",
"8/6/2009","OBB Rate","4.2000 - 8.0000","7.9400",
"8/5/2009","180-Day","NIL","NIL",
"8/5/2009","30-Day","19.0000 - 19.0000","19.0000",
"8/5/2009","360-Day","NIL","NIL",
"8/5/2009","60-Day","NIL","NIL",
"8/5/2009","7-Day","NIL","NIL",
"8/5/2009","90-Day","NIL","NIL",
"8/5/2009","Call Rate","9.5000 - 11.5000","10.9100",
"8/5/2009","OBB Rate","3.2000 - 8.0000","7.7800",
"8/4/2009","180-Day","NIL","NIL",
"8/4/2009","30-Day","15.0000 - 20.0000","18.4100",
"8/4/2009","360-Day","NIL","NIL",
"8/4/2009","60-Day","NIL","NIL",
"8/4/2009","7-Day","NIL","NIL",
"8/4/2009","90-Day","NIL","NIL",
"8/4/2009","Call Rate","10.5000 - 15.5000","10.7600",
"8/4/2009","OBB Rate","3.6500 - 8.0000","6.6200",
"8/3/2009","180-Day","NIL","NIL",
"8/3/2009","30-Day","NIL","NIL",
"8/3/2009","360-Day","NIL","NIL",
"8/3/2009","60-Day","NIL","NIL",
"8/3/2009","7-Day","NIL","NIL",
"8/3/2009","90-Day","NIL","NIL",
"8/3/2009","Call Rate","10.5000 - 11.5000","10.7200",
"8/3/2009","OBB Rate","3.0000 - 13.0000","7.1300",
"7/31/2009","180-Day","NIL","NIL",
"7/31/2009","30-Day","NIL","NIL",
"7/31/2009","360-Day","NIL","NIL",
"7/31/2009","60-Day","19.0000 - 20.0000","19.1800",
"7/31/2009","7-Day","NIL","NIL",
"7/31/2009","90-Day","NIL","NIL",
"7/31/2009","Call Rate","9.5000 - 15.0000","10.8000",
"7/31/2009","OBB Rate","6.9000 - 9.0000","7.0700",
"7/30/2009","180-Day","NIL","NIL",
"7/30/2009","30-Day","15.5000 - 15.5000","15.5000",
"7/30/2009","360-Day","NIL","NIL",
"7/30/2009","60-Day","NIL","NIL",
"7/30/2009","7-Day","NIL","NIL",
"7/30/2009","90-Day","NIL","NIL",
"7/30/2009","Call Rate","10.0000 - 11.7500","10.8000",
"7/30/2009","OBB Rate","4.0000 - 13.0000","7.6000",
"7/29/2009","180-Day","NIL","NIL",
"7/29/2009","30-Day","NIL","NIL",
"7/29/2009","360-Day","NIL","NIL",
"7/29/2009","60-Day","NIL","NIL",
"7/29/2009","7-Day","NIL","NIL",
"7/29/2009","90-Day","NIL","NIL",
"7/29/2009","Call Rate","9.5000 - 15.0000","11.1000",
