"Rate Date","Rate Type","Range","Weighted Average"
"1/18/2024","OBB Rate","15.00 - 22.00","18.24",
"1/17/2024","Call Rate","21.00 - 21.00","21.00",
"1/17/2024","OBB Rate","12.00 - 23.00","18.89",
"1/16/2024","Call Rate","10.00 - 10.00","10.00",
"1/16/2024","Call Rate","13.00 - 21.00","15.92",
"1/15/2024","Call Rate","24.00 - 24.00","24.00",
"1/15/2024","OBB Rate","8.00 - 24.00","22.12",
"1/12/2024","OBB Rate","8.00 - 24.00","15.91",
"1/11/2024","OBB Rate","21.00 - 30.00","24.99",
"1/10/2024","Call Rate","24.00-24.00","24.00",
"1/10/2024","OBB Rate","21.00-30.00","24.08",
"1/9/2024","Call Rate","10.00 - 10.00","10.00",
"1/9/2024","OBB Rate","4.00 - 12.00","6.38",
"1/8/2024","Call Rate","2.00 - 10 00","4.29",
"1/8/2024","OBB Rate","2.00 - 10 00","4.32",
"1/5/2024","Call Rate","1.00 - 10.00","1.00",
"1/5/2024","OBB Rate","5.00 - 15.75","9.12",
"1/4/2024","OBB Rate","10.00 - 15.00","11.73",
"1/3/2024","Call Rate","15.75 - 15.75","15.75",
"1/3/2024","8-35 Days","17.00 - 17.00","17.00",
"1/3/2024","OBB Rate","10.00 - 15.75","14.05",
"1/2/2024","OBB Rate","10.00 - 15.75","13.85",
"12/29/2023","4-7 Days","15.00 - 16.00","15.38",
"12/29/2023","8-35 Days","15.00 - 15.00","15.00",
"12/29/2023","OBB Rate","11.50 - 16.00","15.54",
"12/28/2023","Call Rate","15.75 - 15.75","15.75",
"12/28/2023","OBB Rate","14.00 - 16.50","15.71",
"12/27/2023","OBB Rate","14.00 - 16.00","15.09",
"12/22/2023","OBB Rate","5.00 - 15.75","13.04",
"12/21/2023","OBB Rate","8.00 - 15.75","13.18",
"12/20/2023","OBB Rate","13.00 - 16.00","15.25",
"12/19/2023","OBB Rate","15.00 - 23.00","18.37",
"12/18/2023","OBB Rate","15.75 - 24.00","22.32",
"12/15/2023","OBB Rate","22.00 - 24.75","23.30",
"12/14/2023","OBB Rate","15.50-25.75","21.04",
"12/13/2023","4-7 Days","17.00-17.00","17.00",
"12/13/2023","OBB Rate","15.00-17.00","15.91",
"12/12/2023","Call Rate","15.75 - 15.75","15.75",
"12/12/2023","OBB Rate","15.00 - 17.00","15.78",
"12/11/2023","Call Rate","16.00 - 16.00","16.00",
"12/11/2023","OBB Rate","15.50 - 20.00","16.28",
"12/8/2023","OBB Rate","15.75 - 20.00","17.91",
"12/7/2023","Call Rate","24.00 - 24.00","24.00",
"12/7/2023","OBB Rate","16.20 - 27.00","24.11",
"12/6/2023","Call Rate","16.00 - 16.00","16.00",
"12/6/2023","OBB Rate","15.00 - 17.00","16.10",
"12/5/2023","Call Rate","16.00 - 17.00","16.66",
"12/5/2023","OBB Rate","15.00 - 17.00","15.76",
"12/4/2023","Call Rate","16.00 - 16.00","16.00",
"12/4/2023","OBB Rate","15.00 - 17.00","15.84",
"12/1/2023","Call Rate","15.75 - 15.75","15.75",
"12/1/2023","OBB Rate","14.00 - 16.50","15.75",
"11/30/2023","Call Rate","15.75 - 15.75","15.75",
"11/30/2023","OBB Rate","10.00 - 16.00","14.80",
"11/29/2023","Call Rate","15.75 - 15.75","15.75",
"11/29/2023","OBB Rate","10.00 - 17.00","14.51",
"11/28/2023","Call Rate","15.75 - 17.00","16.58",
"11/28/2023","OBB Rate","15.75 - 19.00","16.12",
"11/27/2023","Call Rate","18.00 - 18.00","18.00",
"11/27/2023","OBB Rate","16.00 - 25.00","18.29",
"11/24/2023","Call Rate","21.00 - 24.00","23.51",
"11/24/2023","OBB Rate","22.00 - 25.00","24.13",
"11/23/2023","Call Rate","24.00 - 24.00","24.00",
"11/23/2023","OBB Rate","16.50 - 27.00","24.10",
"11/22/2023","OBB Rate","23.00 - 26.00","24.17",
"11/21/2023","Call Rate","23.00 - 23.00","23.00",
"11/21/2023","Call Rate","23.00 - 23.00","23.00",
"11/21/2023","OBB Rate","16.00 - 25.00","23.85",
"11/20/2023","Call Rate","23.00 - 23.00","23.50",
"11/20/2023","OBB Rate","20.00 - 25.00","24.08",
"11/17/2023","OBB Rate","18.00 - 25.00","22.65",
"11/16/2023","4-7 Days","20.00 - 20.00","20.00",
"11/16/2023","OBB Rate","20.00 - 26.00","23.28",
"11/15/2023","Call Rate","24.00 - 24.00","24.00",
"11/15/2023","OBB Rate","16.20 - 27.00","24.30",
"11/14/2023","Call Rate","16.00 - 16.00","16.00",
"11/14/2023","OBB Rate","15.50 - 18.50","16.96",
"11/13/2023","4-7 Days","16.00 - 16.00","16.00",
"11/13/2023","OBB Rate","15.75 - 18.50","16.91",
"11/10/2023","OBB Rate","15.00 - 17.00","16.17",
"11/9/2023","OBB Rate","16.00 - 20.00","16.93",
"11/8/2023","OBB Rate","15.75- 17.00","16.24",
